GESTOR,DEPARTAMENTO,MUNICIPIO,# ZONAS WIFI,NOMBRE DEL SITIO,DIRECCIÓN ,UBICACIÓN,Nueva columna georreferenciada_1
Gobernación,Valle del Cauca,Versalles,1,Casa de la cultura,Calle 8 con carrera 2 esquina,"(4.575894,-76.197144)","(4.575894, -76.197144)"
Gobernación,Valle del Cauca,Vijes,1,Parque principal,Cra 4 y 5 entre calle 5 y 6,"(3.700556,-76.4425)","(3.700556, -76.4425)"
Gobernación,Valle del Cauca,Vijes,1,Parque Villa Esperanza,Calle 8 con calle 7,"(3.700556,-76.441906)","(3.700556, -76.441906)"
Gobernación,Valle del Cauca,Yotoco,1,Parque Principal,Carrera 5 con calle 4 frente Alcaldía,"(3.861504,-76.385086)","(3.861504, -76.385086)"
Gobernación,Valle del Cauca,Yotoco,1,Instituto Municipal de Deportes,Cra 7 No. 5-37,"(3.877222,-76.3825)","(3.877222, -76.3825)"
Gobernación,Valle del Cauca,Yumbo,1,Parque Barrio Guadalupe,Calle 16 No. 16n 30,"(3.877222,-76.4832)","(3.877222, -76.4832)"
Gobernación,Valle del Cauca,Yumbo,1,IMDERTY,Calle 16 Kra 4,"(3.582220,-76.48361111)","(3.58222, -76.48361111)"
Gobernación,Valle del Cauca,Yumbo,1,Polideportivo Tomás Bernardo Chávez,Carrera 3 Norte Con Calle 16 Barrio Guacandá,"(3.578056,-76.487778)","(3.578056, -76.487778)"
Gobernación,Valle del Cauca,Yumbo,1,Parque de la Estancia,Calle 19 con carrera 20,"(3.570556,-76.4805555)","(3.570556, -76.4805555)"
Gobernación,Valle del Cauca,Zarzal,1,Parque Santander,Calle 10 calle 11 con Cra 9 y 10,"(4.395167,-76.070783)","(4.395167, -76.070783)"
Gobernación,Valle del Cauca,Zarzal,1,Parque Barrio Bolívar,Calle 14 y 15 con Cra 8 y 9,"(4.397295,-76.068266)","(4.397295, -76.068266)"
MinTic,Valle del Cauca,Bolívar,1,Parque principal,Parque principal ricaute,"(4.308258,-76.207756)","(4.308258, -76.207756)"
MinTic,Valle del Cauca,Bolívar,1,Parque Principal corregimiento La Primavera,Calle 9 y Carrera 5,"(4.337222,-76.1847222222222)","(4.337222, -76.1847222222222)"
MinTic,Valle del Cauca,Buenaventura,1,Polideportivo de la independencia,Kr 62 con diagonal 9a,"(3.878148,-76.999961)","(3.878148, -76.999961)"
MinTic,Valle del Cauca,Buenaventura,1,Parque lleras,Calle 2 con cra 18,"(3.877836,-77.062818)","(3.877836, -77.062818)"
MinTic,Valle del Cauca,Buenaventura,1,Parque montechino,Carrera 17 con calle 4,"(3.880656,-77.065409)","(3.880656, -77.065409)"
MinTic,Valle del Cauca,Buenaventura,1,Boulevard centro,Calle 3 con cra 2,"(3.890545,-77.078846)","(3.890545, -77.078846)"
MinTic,Valle del Cauca,Cali,1,Cancha la estacoión,Cancha la estación kr 3an con calle 72f a 72j,"(3.493986,-76.493165)","(3.493986, -76.493165)"
MinTic,Valle del Cauca,Cali,1,Unidad deportiva laureano,Calle 49 y 50 alrededor del nuevo centro de desarrollo empresarial de la secretaria de desarrollo económico,"(3.413861,-76.495139)","(3.413861, -76.495139)"
MinTic,Valle del Cauca,Cali,1,Polideportivo el diamante,Polideportivo el diamante,"(3.420221,-76.502107)","(3.420221, -76.502107)"
MinTic,Valle del Cauca,Cali,1,Zona deportiva principal barrio petecuy ll etapa,Barrio petecuy ii,"(3.479175,-76.482694)","(3.479175, -76.482694)"
MinTic,Valle del Cauca,Candelaria,1,Parque Zoraida Zamorano,Cl. 13 #15a22,"(3.479175,-76.385106)","(3.479175, -76.385106)"
MinTic,Valle del Cauca,Candelaria,1,Parque principal el tiple,Parque el triple,"(3.479175,-76.425919)","(3.479175, -76.425919)"
MinTic,Valle del Cauca,Cartago,1,Parque la isleta,Parque la isleta,"(7.751750,-75.910130)","(7.75175, -75.91013)"
MinTic,Valle del Cauca,Cartago,1,Parque principal,Parque el lineal cra 2,"(4.751891,-75.920965)","(4.751891, -75.920965)"
MinTic,Valle del Cauca,Dagua,1,Centro recreacional,Centro recreacional,"(3.656905,-76.693448)","(3.656905, -76.693448)"
MinTic,Valle del Cauca,El Águila,1,Polideportivo punta brava,Polideportivo punta brava,"(4.908653,-76.041852)","(4.908653, -76.041852)"
MinTic,Valle del Cauca,El Cerrito,1,Corregimiento santa elena parque principal,Parque principal santa elena,"(3.658917,-76.245806)","(3.658917, -76.245806)"
MinTic,Valle del Cauca,El Cerrito,1,Corregimiento san antonio sector la reforma,Reforma,"(3.685667,-76.351950)","(3.685667, -76.35195)"
MinTic,Valle del Cauca,Florida,1,Parque san antonio de los caballeros,Parque san antonio de los caballeros,"(3.355344,-76.296164)","(3.355344, -76.296164)"
MinTic,Valle del Cauca,Florida,1,Plaza de la paz - Parque de la paz,Cra. 20 #919,"(3.325909,-76.236958)","(3.325909, -76.236958)"
MinTic,Valle del Cauca,Ginebra,1,Parque principal,Via ginebra-guacarí #4-1,"(3.723692,-76.268768)","(3.723692, -76.268768)"
MinTic,Valle del Cauca,Guadalajara de Buga,1,Parque maria luisa espada,Cl. 29a #8-2,"(3.917181,-76.291177)","(3.917181, -76.291177)"
MinTic,Valle del Cauca,Guadalajara de Buga,1,Plazoleta lourdes basilica,Calle 4 entre carrera 14 y15,"(3.897546,-76.302928)","(3.897546, -76.302928)"
MinTic,Valle del Cauca,Obando,1,Parque principal,"Cra. 2 #22 obando","(4.574579,-75.972240)","(4.574579, -75.97224)"
MinTic,Valle del Cauca,Pradera,1,Parque principal Simón Bolívar,"Cra. 11 #547 pradera","(3.419753,-76.242379)","(3.419753, -76.242379)"
MinTic,Valle del Cauca,Pradera,1,Parque del barrio Berlín,Cra 2 entre cll 1a y 1b,"(3.419753,-76.233235)","(3.419753, -76.233235)"
MinTic,Valle del Cauca,Restrepo,1,Plaza de mercado,Cll 13 con cra 10,"(3.822469,-76.522272)","(3.822469, -76.522272)"
MinTic,Valle del Cauca,Restrepo,1,Parque principal,Carrera 10 entre 12 y 13,"(3.822469,-76.522361)","(3.822469, -76.522361)"
MinTic,Valle del Cauca,San Pedro,1,"Plaza principal, casco urbano chancos"Parque principal chancos,"(4.018803,-76.212218)","(4.018803, -76.212218)"
MinTic,Valle del Cauca,Tuluá,1,Parque lineal juan maria cespedes.,Cra. 28 #26-1,"(4.084500,-76.195581)","(4.0845, -76.195581)"
MinTic,Valle del Cauca,Yotoco,1,Parque principal media canoa,Parque principal media canoa,"(3.900247,-76.376232)","(3.900247, -76.376232)"
MinTic,Valle del Cauca,Yumbo,1,Polideportivo Portal de comfndi,Cra 9 con cll 14a,"(3.581561,-76.484451)","(3.581561, -76.484451)"
MinTic,Valle del Cauca,El Dovio,1,Villa Emma,Carrera 7 con Calle 7 Barrio Nicolás Borrero Olano,"(4.5111111,-76.238611111111)","(4.5111111, -76.238611111111)"
MinTic,Valle del Cauca,Riofrío,1,Parque Principal del corregimiento Portugal,Parque Principal del corregimiento Portugal,"(4.051387,-76.359013)","(4.051387, -76.359013)"
MinTic,Valle del Cauca,Riofrío,1,Parque Principal del corregimientos de Salónica,Parque Principal del corregimientos de Salónica,"(4.051387,-76.359013)","(4.051387, -76.359013)"
MinTic,Valle del Cauca,El Águila,1,Parque Principal,Carrera 3 Con Calle 7,"(4.907833,-76.042116)","(4.907833, -76.042116)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque el Ingenio,Calle 16 con Cra 83,"(3.386358,-76.533975)","(3.386358, -76.533975)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Canchas Panamericanas,Calle 9 - cra 34,"(3.425708,-76.5370055555555)","(3.425708, -76.5370055555555)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Del Perro,Cra 34 con Calle 3,"(3.425708,-76.5455222222222)","(3.425708, -76.5455222222222)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque San Nicolás,Cra 6 con Calle 19,"(3.453811,-76.5254805555555)","(3.453811, -76.5254805555555)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque barrio Obrero,Cra 10 con Calle 22A,"(3.449350,-76.5204888888888)","(3.44935, -76.5204888888888)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque El Vallado,Cra 41b con cll 50,"(3.406461,-76.502275)","(3.406461, -76.502275)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Pizamos,Calle 121 con Cra 28 D7,"(3.408011,-76.4732805555555)","(3.408011, -76.4732805555555)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Alfonso López,Calle 72A con Cra 7DBis,"(3.462822,-76.4813222222222)","(3.462822, -76.4813222222222)"
Cali - Alcaldia,Valle del Cauca,Cali,1,"Cancha los azules, desepaz"Calle 125a carrera 26h,"(3.419450,-76.4636611111111)","(3.41945, -76.4636611111111)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Antonio Nariño,Cra 40 con calle 39,"(3.419450,-76.5090916666666)","(3.41945, -76.5090916666666)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Santa Rosa Poblado II,Cra 28-3 con Calle 72 Y,"(3.422792,-76.4878333333333)","(3.422792, -76.4878333333333)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Polideportivo Los Naranjos,Calle 77 con Cra 26 G3,"(3.432344,-76.4804972222222)","(3.432344, -76.4804972222222)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Llano Verde,Cra 46 con Calle 55A,"(3.396211,-76.5060111111111)","(3.396211, -76.5060111111111)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Centro Cultural Alto Jordán,Calle 1B Oeste con cra 93,"(3.377506,-76.6077777777777)","(3.377506, -76.6077777777777)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Centro Cultural Comuna 13,Calle 71 A con Cra 28D,"(3.428714,-76.4970305555555)","(3.428714, -76.4970305555555)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Conjunto habitacional Ramalí,CALLE 85- CRA 1A3,"(3.489933,-76.4846194444444)","(3.489933, -76.4846194444444)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Conjunto habitacional Rio Cauca,Cra 23 con Calle 76,"(3.440569,-76.4769583333333)","(3.440569, -76.4769583333333)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Las Banderas,Cra 36 con Calle 5ta,"(3.431192,-76.5430916666666)","(3.431192, -76.5430916666666)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Skate Board,Calle 51 con Cra 42 D2,"(3.401750,-76.5074111111111)","(3.40175, -76.5074111111111)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Petecuy,Cra 2E con Calle 73 A,"(3.472222,-76.4806388888888)","(3.472222, -76.4806388888888)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Alfonso Barberena,Cra 25 con transversal 30,"(3.433564,-76.5094416666666)","(3.433564, -76.5094416666666)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Polideportivo Los Farallones,Cra 72 con Calle 2,"(3.391950,-76.5529)","(3.39195, -76.5529)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Los Guerreros,Cra 23 con Calle 80 A – 80 C,"(3.437875,-76.4727972222222)","(3.437875, -76.4727972222222)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Museo La Tertulia,Avenida 1 con Calle 5 Oeste,"(3.449958,-76.5394444444444)","(3.449958, -76.5394444444444)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque San Marino,Cra 7d con calle 65,"(3.460833,-76.4879944444444)","(3.460833, -76.4879944444444)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque La Flora,Avenida 5 N con Calle 47  N,"(3.377506,-76.5577777777777)","(3.377506, -76.5577777777777)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Alfonso Bonilla Aragón,Cra 28 con Calle 95,"(3.419722,-76.4886111111111)","(3.419722, -76.4886111111111)"
Cali - Alcaldia,Valle del Cauca,Cali,1,POLIDEPORTIVO LOS ALMENDROS,Calle 62 Carrera 2,"(3.470619,-76.493325)","(3.470619, -76.493325)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Centro Cultural Vista Hermosa,Avenida 5 Oeste con Calle 44,"(3.462492,-76.5877861111111)","(3.462492, -76.5877861111111)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Mutis,Avenida 6 Oeste con Calle 17,"(3.454092,-76.55825)","(3.454092, -76.55825)"
Cali - Alcaldia,Valle del Cauca,Cali,1,PARQUE YO AMO A SILOE,Calle 6F Oeste Carrera 49,"(3.420597,-76.556819)","(3.420597, -76.556819)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque La Orqueta,Cra 48 con Calle 1 Oeste,"(3.418883,-76.5539333333333)","(3.418883, -76.5539333333333)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Plaza de Mercado Alameda,Cra 24 con Calle 9,"(3.434842,-76.5394444444444)","(3.434842, -76.5394444444444)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Polideportivo Villa Colombia,Calle 50 -Cra 10,"(3.451083,-76.5004444444444)","(3.451083, -76.5004444444444)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Colseguros,Calle 12 A con Cra 31,"(3.451083,-76.529611)","(3.451083, -76.529611)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque India Elena,Cra 28 con calle 17,"(3.429561,-76.5244)","(3.429561, -76.5244)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Tequendama,Calle 5 A con Cra 38 Bis,"(3.425118,-76.544483)","(3.425118, -76.544483)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Sector Amarillo Skate Park,Cra 26 J con Calle 121 A,"(3.418181,-76.4673583333333)","(3.418181, -76.4673583333333)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Parque Biblioteca Daniel Guillar,Cra 26 T con Calle 72 W,"(3.426375,-76.486345)","(3.426375, -76.486345)"
Cali - Alcaldia,Valle del Cauca,Cali,1,Polideportivo Torres de Comfandi,Calle 57 con Cra 1 C,"(3.474438,-76.49968)","(3.474438, -76.49968)"